,title,url
109,에어버스 A380을 보유하고있는 항공사를 알아보자! (AIRBUS A380),https://www.youtube.com/watch?v=frNbMRos2R4
110,저가 항공사 이용시 반드시 주의 하세요,https://www.youtube.com/watch?v=3XP226WOI_8
111,승무원이 사랑한 HOTEL [항공사 때려친 언니들],https://www.youtube.com/watch?v=_NBGJCFhNlM
112,저비용항공사 신규 노선 확장 사활 무한경쟁 예고 / 연합뉴스TV (YonhapnewsTV),https://www.youtube.com/watch?v=pLwr3AuW6Ao
113,항공사별 월급 국내항공사 외항사 ( 대한항공 제주항공 에미레이츠항공),https://www.youtube.com/watch?v=tkZ2xq_XFlw
114,[항공사 E사 1등석 리뷰] 퍼스트클래스만 타는 100만 유튜버 샘 추이(Sam Chui) l 채널A 지구인라이브 1회 오리지널 영상,https://www.youtube.com/watch?v=HDZQNAj-H3s
115,일본 항공사 취업 가능할까?[ 호텔리어 복합 리조트 ],https://www.youtube.com/watch?v=a43dZCD_pEU
116, 미국항공사 승무원 VLOG #012 - 출근 전날 저녁 일상 | 비행준비 | 마음의 준비   ,https://www.youtube.com/watch?v=maej9mCoAW4
117,동남아/홍콩/중국항공사 채용 및 항공사별 특징,https://www.youtube.com/watch?v=gHV3SzVQzGI
118,유나이티드 항공사 실패사례,https://www.youtube.com/watch?v=E6-lcXxCKZk
119,[판결의 재구성]  하이힐은 안다  사라진 항공사 직원 | 사건상황실,https://www.youtube.com/watch?v=FmMXeen8DJ0
120,세계 최악의 항공사 TOP15 (북한 클라스에 지려버림),https://www.youtube.com/watch?v=jeCWh5SeQpM
121,ENG) Why quit Emirates?  애슐리가 에미레이트 항공사를 관둔 이유 + 수다 :),https://www.youtube.com/watch?v=TQkCakTeYSI
122,"그래서 , 어느 항공사 마일리지가 더 좋을까? 대한항공 vs 아시아나 마지막편",https://www.youtube.com/watch?v=Ti6RpSWnTNk
123,항공사가 숨기고 싶어하는 진실,https://www.youtube.com/watch?v=xw70PMThpy0
124,"한 항공사, 전직 군인에게 뚱뚱하다며 비행기에서 내리라고 해",https://www.youtube.com/watch?v=TXH6Qk1gwfY
125,9일 준비하고 에미레이츠 항공사 최종면접까지 갔다가 떨어진 이유,https://www.youtube.com/watch?v=wXaT6p7m88I
126,2019년 항공사 채용 예측_승무원 언제 뽑나요??,https://www.youtube.com/watch?v=TkEvopUXMZs
127,"1년 뒤 소멸 시작 항공사 마일리지, 이렇게 사용하세요!",https://www.youtube.com/watch?v=JApZCPZrnQg
128,비키니 입은 스튜어디스로 유명해진 항공사,https://www.youtube.com/watch?v=qv9rkzB3AAw
129,세계에서 가장 안전한 항공사와   (기종)은?,https://www.youtube.com/watch?v=dRBJGy6_fzc
130,"에어 인디아 항공사의 엔지니어, 엔진으로 빨려들어가, 즉사",https://www.youtube.com/watch?v=VM9LwIEQ5lY
131,"[KNN 뉴스]""증명사진 안봐요""...항공사 승무원 채용 신풍속",https://www.youtube.com/watch?v=gi04OffXEXc
132,[KNN 뉴스]에어부산 김해공항 최대항공사 부상,https://www.youtube.com/watch?v=rEGKk3kRKLo
133,소비자불만 최고 항공사는 필리핀 '에어아시아제스트',https://www.youtube.com/watch?v=4rGeyddut0Y
134,도입 예정 국내 항공사들도 '비상' 새 노선 계획 등 차질,https://www.youtube.com/watch?v=vNZyi_-MkvI
135,안전한 여행을 위한 세계에서 가장 안전한 항공사 순위 베스트 20_원모먼트,https://www.youtube.com/watch?v=EiX5cvFCnW8
136,"대한항공 아시아나항공, 항공사 면접에 대한 모든 것!",https://www.youtube.com/watch?v=iTdhym_Y-DY
137,항공사가 숨기고 있는 진짜 비밀,https://www.youtube.com/watch?v=-C4kbzXEhek
138,"[JOB정보센터 180920] 항공사 하반기 공채 시청자 질문 즉문즉답 / 춘천, 청주 지역 채용정보 / 히든챔피언스리그",https://www.youtube.com/watch?v=YzO7cnegrjc
139,[아경TV] 저비용항공사  기내 엔터테인먼트 서비스  도입  수익방어 나선다 ,https://www.youtube.com/watch?v=UGpPwB4AIlo
140,승객 끌어내린 항공사 갑질 인종차별 논란,https://www.youtube.com/watch?v=35Qurj2D--I
141,개인 전용 비행기 같이 작은 항공사 여객기를 타보았더니 ?,https://www.youtube.com/watch?v=Nhgwyfpkmo0
142,절대 금지! 무조건 피해야 할 세계에서 가장 위험한 항공사는?,https://www.youtube.com/watch?v=9zMz6TpBtUk
143,여행전 꼭 확인해야 할 최악의 항공사 TOP 10,https://www.youtube.com/watch?v=phGUsX7IEcg
144,"보잉 737 맥스 8 항공사별 보유현황, 예약 항공편 항공기종 확인방법",https://www.youtube.com/watch?v=I1-JNpxSCgQ
145,EBSe 생활영어 - EBSe Everyday English_항공사_#001,https://www.youtube.com/watch?v=knU-ZaqgB2A
146,국제선 3명 중 1명은 저비용항공사 이용 가격 따져보니,https://www.youtube.com/watch?v=dHHOA7Isl18
147,아시아나 항공 2019 면접 최신 꿀팁 part.1[항공사 때려친 언니들],https://www.youtube.com/watch?v=HgplXzZr7Hc
